country_name;year;gdp;gdp_per_capita
Cambodia;2017;22177200512;1385
Papua New Guinea;2021;26594277246;2916
Kosovo;2021;9007159196;4987
Papua New Guinea;2020;24667052023;2757
Kosovo;2020;7716925356;4311
Papua New Guinea;2019;24751344561;2820
Kosovo;2019;7899879086;4416
Papua New Guinea;2018;24109509853;2801
Kosovo;2018;7878508503;4384
Papua New Guinea;2017;22742613554;2695
Kosovo;2017;7180813376;4009
Zimbabwe;2021;26217726717;1737
Suriname;2021;2862131980;4836
Zimbabwe;2020;18051170799;1215
Suriname;2020;2884248048;4917
Zimbabwe;2019;19284289739;1317
Suriname;2019;3984483762;6854
Zimbabwe;2018;18115543791;1255
Suriname;2018;3996247906;6938
Zimbabwe;2017;17584890937;1235
Suriname;2017;3591623596;6296
Namibia;2021;12236250784;4729
Namibia;2020;10562637376;4157
Namibia;2019;12543203411;5028
Namibia;2018;13682062249;5588
Namibia;2017;12895153160;5367
Armenia;2021;13861183874;4670
Armenia;2020;12641209802;4266
Armenia;2019;13619291361;4605
Armenia;2018;12457941907;4221
Armenia;2017;11527458566;3915
Zambia;2021;21203059080;1121
Jamaica;2021;13638230996;4587
Zambia;2020;18110631358;985
Jamaica;2020;13812425037;4665
Zambia;2019;23308667781;1305
Jamaica;2019;15830768550;5369
Zambia;2018;26311590297;1516
Jamaica;2018;15730793853;5360
Zambia;2017;25873601261;1535
Jamaica;2017;14808989993;5070
Yemen;2021;21061691630;691
Mongolia;2021;15098022829;4535
Yemen;2020;18840511908;632
Mongolia;2020;13312981595;4061
Yemen;2019;21887614217;751
Mongolia;2019;14206359007;4405
Yemen;2018;21606161066;758
Mongolia;2018;13178094459;4157
Yemen;2017;26842231205;964
Mongolia;2017;11480847745;3687
Haiti;2021;20944392615;1815
Belize;2021;1789923264;4420
Haiti;2020;14508218017;1272
Belize;2020;1585631670;3988
Haiti;2019;14785839383;1313
Belize;2019;1945250236;4983
Haiti;2018;16455034353;1479
Belize;2018;1887465218;4927
Haiti;2017;15035560373;1369
Belize;2017;1844906693;4910
Burkina Faso;2021;19737615114;918
Burkina Faso;2020;17933606353;858
Burkina Faso;2019;16178162030;796
Burkina Faso;2018;15890065020;805
Burkina Faso;2017;14106956830;735
Mali;2021;19143741503;918
Mali;2020;17465392779;862
Mali;2019;17280250805;879
Mali;2018;17070867578;895
Mali;2017;15365713059;830
Lao PDR;2021;18827148530;2551
Lao PDR;2020;18981800705;2609
Lao PDR;2019;18740559554;2614
Lao PDR;2018;18141651381;2569
Lao PDR;2017;17071162084;2455
Eswatini;2021;4941373182;4215
Eswatini;2020;3984840580;3435
Eswatini;2019;4466066557;3890
Eswatini;2018;4666784618;4107
Eswatini;2017;4402969226;3914
Marshall Islands;2021;248665600;4171
Marshall Islands;2020;244462400;4130
Marshall Islands;2019;239462200;4073
Marshall Islands;2018;221588900;3794
Marshall Islands;2017;213204100;3673
Samoa;2021;788389972;3939
Samoa;2020;807147528;4068
Samoa;2019;852007105;4323
Samoa;2018;821286939;4188
Samoa;2017;832025556;4259
Lebanon;2021;18076624840;2670
Lebanon;2020;25948915861;3802
Lebanon;2019;51605959131;7527
Lebanon;2018;54901519156;8004
Lebanon;2017;53027680686;7776
West Bank And Gaza;2021;18036800000;3664
West Bank And Gaza;2020;15531700000;3234
West Bank And Gaza;2019;17133500000;3657
West Bank And Gaza;2018;16276600000;3562
West Bank And Gaza;2017;16128000000;3620
Benin;2021;17785640079;1428
Benin;2020;15651545332;1291
Benin;2019;14391686633;1220
Benin;2018;14262407011;1242
